Entry Date,Entry Stop,Fare,Mode,Type,Route/Vehicle #
"May 30, 2026 8:06 PM",15th St/City Hall,$0.00,Subway,Single Trip,L1/-
"May 30, 2026 5:54 PM",Baltimore Av & 46th St,$0.00,Trolley,Single Trip,T2/9016
"May 30, 2026 1:16 PM",15th St/City Hall,$0.00,Subway,Transfer,L1/-
"May 30, 2026 12:42 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"May 30, 2026 10:04 AM",Broad St & Tasker St,$0.00,Bus,Single Trip,4/3572
"May 29, 2026 9:10 AM",Broad St & Snyder Av,$0.00,Bus,Single Trip,999/8635
"May 25, 2026 9:56 AM",Broad St & Dickinson St,$0.00,Bus,Single Trip,4/3586
"May 24, 2026 1:11 PM",Broad St & Snyder Av - MBNS,$0.00,Bus,Single Trip,37/3532
"May 23, 2026 12:42 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 23, 2026 9:37 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3822
"May 22, 2026 8:40 PM",Ellsworth-Federal,$0.00,Subway,Single Trip,B1/-
"May 22, 2026 12:10 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"May 22, 2026 11:01 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 22, 2026 9:06 AM",11th St & Chestnut St,$0.00,Bus,Transfer,45/3086
"May 22, 2026 8:23 AM",Passyunk Av & 10th St,$0.00,Bus,Single Trip,45/3090
"May 18, 2026 5:27 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 17, 2026 12:12 PM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3312
"May 16, 2026 10:44 PM",Market St & 11th St,$0.00,Bus,Single Trip,999/7474
"May 16, 2026 5:39 PM",19th St & Wolf St,$0.00,Bus,Single Trip,17/7472
"May 15, 2026 7:02 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"May 15, 2026 5:31 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 15, 2026 8:40 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3322
"May 14, 2026 10:54 PM",Ellsworth-Federal,$0.00,Subway,Single Trip,B1/-
"May 14, 2026 8:12 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"May 14, 2026 6:05 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 14, 2026 12:34 AM",JFK Blvd & 15th St,$0.00,Bus,Single Trip,999/7478
"May 13, 2026 6:15 PM",19th St & Wolf St,$0.00,Bus,Single Trip,17/7473
"May 13, 2026 1:39 PM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3301
"May 13, 2026 7:51 AM",Broad St & Mifflin St,$0.00,Bus,Single Trip,4/3310
"May 12, 2026 6:20 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,45/3086
"May 9, 2026 6:42 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 9, 2026 2:15 PM",Broad-Girard,$0.00,Subway,Single Trip,B1/-
"May 9, 2026 12:53 PM",15th St/City Hall,$0.00,Subway,Transfer,L1/-
"May 9, 2026 11:50 AM",19th St & Wolf St,$0.00,Bus,Single Trip,17/7471
"May 7, 2026 3:37 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 6, 2026 3:02 PM",Broad St & Tasker St,$0.00,Bus,Single Trip,4/3585
"May 5, 2026 1:05 PM",11th St & Locust St,$0.00,Bus,Transfer,45/3092
"May 5, 2026 12:00 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 4, 2026 8:53 AM",Broad St & S Penn Square,$0.00,Bus,Transfer,4/3562
"May 4, 2026 7:35 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 3, 2026 4:48 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"May 3, 2026 6:00 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 2, 2026 3:12 PM",8th St & Lombard St,$0.00,Bus,Transfer,999/3240
"May 2, 2026 1:58 PM",15th St/City Hall,$0.00,Subway,Single Trip,L1/-
"May 2, 2026 10:31 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"May 1, 2026 5:13 PM",Broad St & Tasker St,$0.00,Bus,Single Trip,4/3591
"May 1, 2026 4:55 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"May 1, 2026 3:07 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,2345/8438
"May 1, 2026 7:45 AM",19th St & Moyamensing Av,$0.00,Bus,Single Trip,2/3387
"Apr 29, 2026 5:28 PM",11th St & Arch St,$0.00,Bus,Single Trip,45/8455
"Apr 29, 2026 3:30 PM",Walnut St & 15th St,$0.00,Bus,Transfer,9/3854
"Apr 29, 2026 3:10 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 29, 2026 8:03 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/8605
"Apr 28, 2026 6:40 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 28, 2026 3:54 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 26, 2026 1:20 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 26, 2026 10:58 AM",Broad St & S Penn Square,$0.00,Bus,Transfer,4/3450
"Apr 26, 2026 10:28 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 24, 2026 9:15 AM",11th St & Arch St,$0.00,Bus,Transfer,45/8464
"Apr 24, 2026 8:02 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 23, 2026 9:06 PM",11th St & South St,$0.00,Bus,Single Trip,45/3560
"Apr 23, 2026 5:16 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,2345/3096
"Apr 23, 2026 9:53 AM",11th St & Walnut St,$0.00,Bus,Single Trip,45/3430
"Apr 23, 2026 7:37 AM",Snyder,$0.00,Subway,Single Trip,B1/-
"Apr 22, 2026 6:34 PM",11th St & Walnut St,$0.00,Bus,Transfer,45/8440
"Apr 22, 2026 6:07 PM",2nd St,$0.00,Subway,Transfer,L1/-
"Apr 22, 2026 4:56 PM",Tasker St & Broad St,$0.00,Bus,Single Trip,29/3440
"Apr 20, 2026 7:55 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 20, 2026 5:43 PM",11th St & Chestnut St,$0.00,Bus,Transfer,45/8463
"Apr 20, 2026 5:26 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,999/3118
"Apr 20, 2026 12:10 PM",15th St/City Hall,$0.00,Subway,Transfer,L1/-
"Apr 20, 2026 11:30 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 19, 2026 7:20 PM",19th St & Wolf St,$0.00,Bus,Single Trip,17/7483
"Apr 19, 2026 2:32 PM",Broad-Spring Garden,$0.00,Subway,Single Trip,B1/-
"Apr 19, 2026 12:36 PM",Snyder,$0.00,Subway,Transfer,B1/-
"Apr 19, 2026 11:04 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 18, 2026 10:53 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Apr 18, 2026 9:08 PM",NRG Station,$0.00,Subway,Single Trip,B1/-
"Apr 18, 2026 6:24 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 18, 2026 4:52 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Apr 18, 2026 3:52 PM",Walnut St & 12th St,$0.00,Bus,Transfer,9/3427
"Apr 18, 2026 3:34 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 17, 2026 8:44 AM",Ellsworth-Federal,$0.00,Subway,Transfer,B1/-
"Apr 17, 2026 8:11 AM",Broad St & Reed St,$0.00,Bus,Single Trip,999/3525
"Apr 16, 2026 5:11 PM",11th St & Chestnut St,$0.00,Bus,Transfer,45/8544
"Apr 16, 2026 4:30 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 16, 2026 8:57 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/8600
